building_id,meter,timestamp,meter_reading,is_zero_reading,site_id,primary_use,square_feet,year_built,air_temperature,dew_temperature,sea_level_pressure,wind_direction,wind_speed,hour,dayofweek,month,is_weekend
1103,0,2016-05-22 18:00:00,46.117,False,13,Other,23903,1980,26.7,2.8,1016.3,200.0,6.2,18,6,5,True
148,0,2016-05-16 06:00:00,153.9,False,1,Office,174601,1960,9.5,7.5,1021.5,10.0,2.6,6,0,5,False
1074,1,2016-04-03 23:00:00,0.0,True,13,Office,89858,1976,12.2,-2.8,1005.6,350.0,8.8,23,6,4,True
316,0,2016-04-05 22:00:00,22.4,False,3,Public services,78550,1968,7.8,-10.0,1028.3,350.0,5.1,22,1,4,False
888,1,2016-04-13 05:00:00,331.674,False,9,Entertainment/public assembly,137522,1976,16.7,15.6,1017.1,350.0,4.1,5,2,4,False
48,0,2016-12-25 14:00:00,98.3569,False,0,Other,9569,1989,22.2,20.0,1025.5,60.0,2.6,14,6,12,True
444,0,2016-02-23 14:00:00,15.5,False,3,Public services,12945,1960,5.0,3.3,1022.8,30.0,4.6,14,1,2,False
1325,3,2016-08-23 13:00:00,184.12,False,15,Entertainment/public assembly,155177,1915,16.7,12.8,1027.2,0.0,0.0,13,1,8,False
801,2,2016-08-16 18:00:00,83.54,False,7,Education,484376,1952,19.1,16.7,1016.2,110.0,3.6,18,1,8,False
1122,0,2016-03-23 15:00:00,147.588,False,13,Office,84365,1976,2.2,-2.8,1015.9,60.0,7.2,15,2,3,False
1150,0,2016-11-27 22:00:00,67.726,False,13,Office,196043,1976,4.4,1.7,1002.9,110.0,7.7,22,6,11,True
202,1,2016-05-09 11:00:00,372.188,False,2,Lodging/residential,74682,2006,18.3,6.1,1009.7,90.0,2.6,11,0,5,False
976,0,2016-02-18 12:00:00,69.0,False,9,Education,59498,1966,13.9,12.2,1021.5,0.0,2.6,12,3,2,False
192,0,2016-11-26 13:00:00,649.78,False,2,Education,151637,1983,16.7,-0.6,1015.8,90.0,3.6,13,5,11,True
